,station_code,station_actual,station_new,Zone,State,Name,Longitude,Latitude
0,KW,KHERVADI,KHERVADI Maharashtra,Central Railway,Maharashtra,"Kherwadi, Maharashtra 402126, India",73.1965421,18.4886915
0,BRTK,BHORTEX,BHORTEX Maharashtra,Western Railway,Maharashtra,"Maharashtra, India",75.7138884,19.7514798
0,MGLP,Mangolpuri,Mangolpuri Delhi,Northern Railway,Delhi,"Mangolpuri, Delhi, India",77.0916394,28.6922954
0,DEP,Depalsar,Depalsar Rajasthan,North Western Railway,Rajasthan,"Depalsar, Rajasthan, India",74.9314622,28.2412404
0,KGM,Kathgodam,Kathgodam Uttarakhand,North Eastern Railway,Uttarakhand,"Kathgodam, Haldwani, Uttarakhand, India",79.5441198,29.2693264
0,DJX,Dungripali,Dungripali Odisha,East Coast Railway,Odisha,"Dunguripali, Odisha 767023, India",83.5509886,21.0475445
0,KTPR,Kathal Pukhuri,Kathal Pukhuri Assam,North Frontier Railway,Assam,"Kathal Pukhuri, Assam 787023, India",93.9712626,27.1748655
0,GNJ,GUNJI,GUNJI Karnataka,South Western Railway,Karnataka,"Gunji, Karnataka, India",74.4818698,15.5355687
0,NIR,Nenpur,Nenpur Madhya Pradesh,South East Central Railway,Madhya Pradesh,"Nainpur, Madhya Pradesh 481776, India",80.1095601,22.4266058
0,DHNE,Dhone,Dhone Andhra Pradesh,South Central Railway,Andhra Pradesh,"Dhone, Andhra Pradesh 518222, India",77.8732414,15.3960427
0,DBV,Dabilpur,Dabilpur Telangana,South Central Railway,Telangana,"Dabilpur, Telangana 501401, India",78.4702215,17.6666986
0,DKRA,DHUANKHERI,DHUANKHERI Madhya Pradesh,West Central Railway,Madhya Pradesh,"Dhuankheri, Madhya Pradesh 465680, India",76.783333,23.566667
0,CMY,Chintamani,Chintamani Karnataka,South Western Railway,Karnataka,"Chintamani, Karnataka 563125, India",78.0551384,13.4019689
0,YL,Yeola,Yeola Maharashtra,Central Railway,Maharashtra,"Yeola, Maharashtra 423401, India",74.4839523,20.0432004
0,PSDA,Pasivedala,Pasivedala Andhra Pradesh,South Central Railway,Andhra Pradesh,"Pasivedala, Andhra Pradesh, India",81.7005492,16.9954122
0,CTT,Chitrasani,Chitrasani Gujarat,North Western Railway,Gujarat,"Chitrasani, Gujarat 385010, India",72.483507,24.26778
0,SAO,Sagoni,Sagoni Madhya Pradesh,West Central Railway,Madhya Pradesh,"Sagoni, Madhya Pradesh 470664, India",79.8043513,23.7884896
0,SPO,Surpura,Surpura Rajasthan,North Western Railway,Rajasthan,"Surpura, Rajasthan, India",73.1172573,26.3616977
0,BMH,Betamcherla,Betamcherla Andhra Pradesh,South Central Railway,Andhra Pradesh,"Betamcherla, Andhra Pradesh, India",78.1518436,15.4575887
0,MNDH,Mandir Hasaud,Mandir Hasaud Chhatisgarh,East Coast Railway,Chhatisgarh,"Mandir Hasaud, Chhattisgarh 492101, India",81.7654962,21.2237351
0,BSBR,Banshlai Bridge,Banshlai Bridge West Bengal,Eastern Railway,West Bengal,"West Bengal, India",87.8549755,22.9867569
0,DKE,Dihakho,Dihakho Assam,North Frontier Railway,Assam,"Dihakho, Assam 788832, India",93.12641,25.4295
0,NR,BAKAYANWALA,BAKAYANWALA Maharashtra,Central Railway,Maharashtra,"Maharashtra, India",75.7138884,19.7514798
0,SRAS,Siras,Siras Rajasthan,North Western Railway,Rajasthan,"Siras, Rajasthan 304021, India",76.0162836,26.2671647
0,NIM,NIMDIH,NIMDIH Jharkhand,South Eastern Railway,Jharkhand,"Nimdih, Jharkhand 832401, India",86.1459216,22.9917487
0,KDM,Kesamudram,Kesamudram Telangana,South Central Railway,Telangana,"Kesamudram, Telangana 506112, India",79.8914931,17.692218
0,CHH,Chaukhandi,Chaukhandi Uttar Pradesh,Northern Railway,Uttar Pradesh,"Chaukhandi, Uttar Pradesh, India",79.7385854,28.2179861
0,BQU,BHATTIPROLU,BHATTIPROLU Andhra Pradesh,Eastern Railway,Andhra Pradesh,"Bhattiprolu, Andhra Pradesh, India",80.7845272,16.1038105
0,DJHR,Deojhar,Deojhar Odisha,South Eastern Railway,Odisha,"Deojhar, Odisha 758035, India",85.4659195,22.1131076
0,PTKC,Pathankot Cantt,Pathankot Cantt Punjab,Northern Railway,Punjab,"Pathankot Cantt, Pathankot, Punjab 145001, India",75.6368143,32.2593932
0,AH,Achhnera Jn,Achhnera Jn Uttar Pradesh,North Central Railway,Uttar Pradesh,"Achhnera, Uttar Pradesh 283101, India",77.7537913,27.1773695
0,RMD,Ramanathapuram,Ramanathapuram Tamil Nadu,Southern Railway,Tamil Nadu,"Ramanathapuram, Tamil Nadu, India",78.8394819,9.3639356
0,SPF,Stuartpuram,Stuartpuram Andhra Pradesh,South Central Railway,Andhra Pradesh,"Stuartpuram, Chirala, Andhra Pradesh, India",80.4062219,15.8666854
0,GMIA,Gumia,Gumia Jharkhand,East Central Railway,Jharkhand,"Gumia, Jharkhand, India",85.8238938,23.8012672
0,JES,JAITSAR,JAITSAR Rajasthan,North Western Railway,Rajasthan,"Jaitsar, Rajasthan 342025, India",72.2186128,26.5924847
0,AS,Arjansar,Arjansar Rajasthan,North Western Railway,Rajasthan,"Arjansar, Rajasthan, India",73.8673254,28.9330858
0,JN,Malkera Jn,Malkera Jn Gujarat,Western Railway,Gujarat,"Gujarat, India",71.5723953,22.6708317
0,CHR,Chilkahar,Chilkahar Uttar Pradesh,North Eastern Railway,Uttar Pradesh,"Chilkahar, Uttar Pradesh 221701, India",83.9664886,25.824744
0,NSD,Nasirabad,Nasirabad Rajasthan,North Western Railway,Rajasthan,"Nasirabad, Rajasthan 305601, India",74.7340627,26.3017564
0,LNN,Lonand,Lonand Maharashtra,Central Railway,Maharashtra,"Lonand, Maharashtra 415521, India",74.1861821,18.041706
0,PIRO,PIRO,PIRO Bihar,East Central Railway,Bihar,"Piro, Bihar 802207, India",84.4015075,25.3258049
0,NTW,Nanjangud Town,Nanjangud Town Karnataka,South Western Railway,Karnataka,"Nanjangud, Karnataka, India",76.678249,12.1159697
0,SVD,Sarwari,Sarwari Maharashtra,South Central Railway,Maharashtra,"Maharashtra, India",75.7138884,19.7514798
0,DR,Dadar,Dadar Maharashtra,Central Railway,Maharashtra,"Dadar, Mumbai, Maharashtra, India",72.847812,19.0177989
0,DSO,Deshnok,Deshnok Rajasthan,North Western Railway,Rajasthan,"Deshnok, Rajasthan 334801, India",73.3438385,27.7967826
0,KTHU,Kathua,Kathua Jammu And Kashmir,Northern Railway,Jammu And Kashmir,Kathua,75.5173465,32.3863082
0,SBRA,Sarbahara,Sarbahara Chhatisgarh,South East Central Railway,Chhatisgarh,"Sarbahra, Chhattisgarh 495119, India",81.9405875,22.7587416
0,BIX,Bhind,Bhind Madhya Pradesh,North Central Railway,Madhya Pradesh,"Bhind, Madhya Pradesh, India",78.7860916,26.5637768
0,GDYA,Ghoradongri,Ghoradongri Madhya Pradesh,Central Railway,Madhya Pradesh,"Ghoradongri, Madhya Pradesh 460443, India",77.9995589,22.1240168
0,DSM,DARASURAM,DARASURAM Tamil Nadu,Southern Railway,Tamil Nadu,"Dharasuram, Kumbakonam, Tamil Nadu, India",79.3550041,10.9492797
0,GMDN,GiriMaidan,GiriMaidan West Bengal,South Eastern Railway,West Bengal,"Giri Maidan Brg, Kharagpur, West Bengal 721301, India",87.3067658,22.3417246
0,TLC,Talchhapar,Talchhapar Rajasthan,North Western Railway,Rajasthan,"Chhapar, Rajasthan 331502, India",74.4379073,27.8185932
0,AKT,Akaltara,Akaltara Chhatisgarh,South East Central Railway,Chhatisgarh,"Akaltara, Chhattisgarh 495552, India",82.4264982,22.0265467
0,PH,Govindpur Road,Govindpur Road Himachal Pradesh,Northern Railway,Himachal Pradesh,"Himachal Pradesh, India",77.5619419,32.1024076
0,MURD,MAHWA,MAHWA Rajasthan,North Central Railway,Rajasthan,"Mahwa, Rajasthan 321608, India",76.9260755,27.046209
0,PT,Patli,Patli Haryana,Northern Railway,Haryana,"Patli, Haryana, India",76.8555198,28.3984385
0,KPJG,KEREJANGA,KEREJANGA Odisha,East Coast Railway,Odisha,"Kerjanga, Odisha 759119, India",85.2178957,21.4102776
0,NKB,Nagrakota,Nagrakota West Bengal,North Frontier Railway,West Bengal,"Nagrakata, West Bengal 735225, India",88.9117463,26.8882081
0,RD,Ram Dayalu Nagr,Ram Dayalu Nagr Bihar,East Central Railway,Bihar,"Ramdayalu Nagar, Bhikanpur Dih, Muzaffarpur, Bihar, India",85.3835568,26.0948533
0,MYL,MALLIYALA,MALLIYALA Andhra Pradesh,South Central Railway,Andhra Pradesh,"Malyala, Andhra Pradesh 518401, India",78.2376466,15.886533
0,BVV,BEDETTI,BEDETTI Assam,North Frontier Railway,Assam,"Assam, India",92.9375739,26.2006043
0,NWN,NANWAN,NANWAN Haryana,North Western Railway,Haryana,"Nanwan, Haryana, India",76.0072749,28.3794151
0,KUND,KUND,KUND Haryana,North Western Railway,Haryana,"Kund, Haryana 123102, India",76.394749,28.1458911
0,AMNA,Aman Lodge,Aman Lodge ,Central Railway,,"Aman Lodge, Matheran, Maharashtra 410102, India",73.2761675,18.9970097
0,DHD,Dahod,Dahod Gujarat,Western Railway,Gujarat,"Dahod, Gujarat, India",74.2606185,22.8344992
0,CNS,Chuchura,Chuchura West Bengal,Eastern Railway,West Bengal,"Chinsurah, West Bengal, India",88.3898552,22.9011588
0,COB,COOCH BEHAR,COOCH BEHAR West Bengal,North Frontier Railway,West Bengal,"Cooch Behar, West Bengal, India",89.4482079,26.3452397
0,NNA,Naugachia,Naugachia Bihar,East Central Railway,Bihar,"Naugachhia, Bihar 853204, India",87.0979867,25.387344
0,BNDA,Banda Jn,Banda Jn Uttar Pradesh,North Central Railway,Uttar Pradesh,"Banda, Uttar Pradesh 210001, India",80.3395498,25.4762689
0,BH,Bharuch Jn,Bharuch Jn Gujarat,Western Railway,Gujarat,"Bharuch, Gujarat, India",72.9958748,21.7051358
0,JBS,JADOLI KA BAS,JADOLI KA BAS Rajasthan,North Central Railway,Rajasthan,"Jadoli Ka Bas, Jadoli, Rajasthan 301021, India",76.88089,27.53947
0,SYM,SAVALYAPURAM,SAVALYAPURAM Andhra Pradesh,South Central Railway,Andhra Pradesh,"Savalyapuram, Andhra Pradesh 522646, India",79.8146656,16.1034296
0,PPW,PACHPERWA,PACHPERWA Uttar Pradesh,North Eastern Railway,Uttar Pradesh,"Pachperwa, Uttar Pradesh 271206, India",82.6461419,27.5181738
0,NZM,Kota Jn,Kota Jn Delhi,Northern Railway,Delhi,"Kota, Rajasthan, India",75.8647527,25.2138156
0,CNDM,Chandi Mandir,Chandi Mandir Haryana,Northern Railway,Haryana,"Chandi Mandir, Haryana, India",76.8922729,30.7285106
0,NIL,Nilambur Road,Nilambur Road Kerala,Southern Railway,Kerala,"Nilambur Road, Kerala, India",76.1448053,11.3354596
0,KAJG,Karanjgaon,Karanjgaon Maharashtra,South Central Railway,Maharashtra,"Karanjgaon, Maharashtra 422210, India",74.0718702,20.0135982
0,EVA,EDAVAI,EDAVAI Kerala,Southern Railway,Kerala,"Edava, Kerala, India",76.6959358,8.7645839
0,PMY,Pali Marwar,Pali Marwar Rajasthan,North Western Railway,Rajasthan,"Pali Marwar, Pali, Rajasthan 306401, India",73.3382006,25.7748303
0,MTT,Mutupet,Mutupet Tamil Nadu,Southern Railway,Tamil Nadu,"Muthupet, Tamil Nadu, India",79.4949884,10.3956993
0,MJBT,Majbat,Majbat Assam,North Frontier Railway,Assam,"Mazbat, Assam 784507, India",92.2923115,26.7909574
0,MPO,Manpur Jn,Manpur Jn Bihar,East Central Railway,Bihar,"Manpur, Bihar 823003, India",85.0247308,24.7986168
0,SAV,Savda,Savda Maharashtra,Central Railway,Maharashtra,"Savda, Maharashtra, India",75.8859349,21.1506344
0,RD,Bagevadi Rd,Bagevadi Rd Bihar,East Central Railway,Bihar,"Bihar, India",85.2722472,25.9644427
0,ASLU,ASLU,ASLU Rajasthan,North Western Railway,Rajasthan,"Lakhau, Rajasthan, India",75.0859356,28.3587117
0,BJKN,BAJEKAN,BAJEKAN Haryana,North Western Railway,Haryana,"Bajekan, Haryana 125055, India",75.103454,29.5067351
0,KKDE,Kurukshetra Jn,Kurukshetra Jn Haryana,Northern Railway,Haryana,"Kurukshetra, Haryana, India",76.878282,29.9695121
0,YPD,Yerpedu,Yerpedu Andhra Pradesh,South Central Railway,Andhra Pradesh,"Erpedu, Andhra Pradesh, India",79.5934577,13.6930918
0,JDL,Jagdevwala,Jagdevwala Rajasthan,North Western Railway,Rajasthan,"Jagdevwala, Rajasthan, India",73.4688797,28.3064985
0,BANE,Basni,Basni Rajasthan,North Western Railway,Rajasthan,"Basni, Rajasthan 341021, India",73.6449797,27.1697747
0,DISA,Disa,Disa Gujarat,Western Railway,Gujarat,"Deesa, Gujarat, India",72.1906739,24.2585055
0,NTV,NAUTANWA,NAUTANWA Uttar Pradesh,North Eastern Railway,Uttar Pradesh,"Nautanwa, Uttar Pradesh 273164, India",83.4269996,27.4241659
0,RNQ,Renukut,Renukut Uttar Pradesh,East Central Railway,Uttar Pradesh,"Renukoot, Uttar Pradesh, India",83.0334524,24.2194761
0,PSE,PUSAULI,PUSAULI Bihar,East Central Railway,Bihar,"Pusauli, Bihar 821101, India",83.7265548,25.0964939
0,PLP,Phulpur,Phulpur Uttar Pradesh,Northern Railway,Uttar Pradesh,"Phoolpur, Uttar Pradesh 212402, India",82.088374,25.5510396
0,RK,Roorkee,Roorkee Uttarakhand,Northern Railway,Uttarakhand,"Roorkee, Uttarakhand, India",77.8880002,29.8542626
0,DQL,Dhalaibil,Dhalaibil Assam,North Frontier Railway,Assam,"Dhalaibil, Assam, India",92.9076094,26.7788691
0,BHY,Bhayavadar,Bhayavadar Gujarat,Western Railway,Gujarat,"Bhayavadar, Gujarat 365450, India",70.9955445,21.6975888
0,KUR,Khurda Road Jn,Khurda Road Jn Odisha,East Coast Railway,Odisha,"Jatni, Odisha, India",85.7011384,20.1623534
0,PURI,Puri,Puri Odisha,East Coast Railway,Odisha,"Puri, Odisha, India",85.8312359,19.8134554
0,KTLA,Katkola Jn,Katkola Jn Gujarat,Western Railway,Gujarat,"Katkola, Gujarat, India",69.8763173,21.8681663
0,DSME,DASARA,DASARA Jharkhand,East Central Railway,Jharkhand,"Jharkhand, India",85.2722472,23.6913486
0,REN,Ren,Ren Rajasthan,North Western Railway,Rajasthan,"Ren, Rajasthan 341514, India",74.0883152,26.7800678
0,NAK,NAKSALBARI,NAKSALBARI West Bengal,North Frontier Railway,West Bengal,"Naxalbari, West Bengal 734429, India",88.1998512,26.6823035
0,GEA,Ghatera,Ghatera Madhya Pradesh,West Central Railway,Madhya Pradesh,"Ghatera, Madhya Pradesh 470664, India",79.6740663,23.8304504
0,AIT,Ait,Ait Uttar Pradesh,North Central Railway,Uttar Pradesh,"Ait, Uttar Pradesh 285201, India",79.2410128,25.8935522
0,PDF,PADAMPUR,PADAMPUR Gujarat,Western Railway,Gujarat,"Padampur, Gujarat 370475, India",69.1797258,22.9572541
0,TKR,Takari,Takari Maharashtra,Central Railway,Maharashtra,"Takari, Maharashtra 415313, India",74.3616798,17.1309306
0,MAN,Maninagar,Maninagar Gujarat,Western Railway,Gujarat,"Maninagar, Ahmedabad, Gujarat, India",72.604097,22.995165
0,LBI,Lilabari,Lilabari Assam,North Frontier Railway,Assam,"73PV+X6J Lilabari Airport, Chaboti, Ujjalpur, Assam 787051, India",94.0930156,27.2874625
0,BPO,Baripada,Baripada Odisha,South Eastern Railway,Odisha,"Baripada, Odisha, India",86.7465928,21.9319838
0,FM,Falaknuma,Falaknuma Telangana,South Central Railway,Telangana,"Falaknuma, Hyderabad, Telangana, India",78.46987,17.3323544
0,RBL,Rae Bareli Jn,Rae Bareli Jn Uttar Pradesh,Northern Railway,Uttar Pradesh,"Raebareli, Uttar Pradesh, India",81.2528139,26.2144806
0,PRGR,Pinargaria,Pinargaria West Bengal,Eastern Railway,West Bengal,"Pinargaria, Jharkhand, India",87.6408469,24.206016
0,DING,DING,DING Haryana,North Western Railway,Haryana,"Ding, Haryana 125058, India",75.2624898,29.4609824
0,JGA,JOGIARA,JOGIARA Bihar,East Central Railway,Bihar,"Yogiara, Bihar 847302, India",85.750001,26.4110681
0,HSA,Hasimara,Hasimara West Bengal,North Frontier Railway,West Bengal,"Hasimara, West Bengal, India",89.3506423,26.7308712
0,NAT,Nathnagar,Nathnagar Bihar,Eastern Railway,Bihar,"Nathnagar, Bhagalpur, Bihar, India",86.9348672,25.2432132
0,BSPX,Banspani,Banspani Odisha,South Eastern Railway,Odisha,"Banspani, Joda, Odisha 758034, India",85.4279011,22.0097354
0,JN,Howrah Jn,Howrah Jn Gujarat,Western Railway,Gujarat,"Gujarat, India",71.5723953,22.6708317
0,KPZ,KAPREN,KAPREN Rajasthan,West Central Railway,Rajasthan,"Kapren, Rajasthan 323301, India",76.0727708,25.4053256
0,SIKD,SIKRODA KWANRI,SIKRODA KWANRI Madhya Pradesh,North Central Railway,Madhya Pradesh,"Sikroda Kwanri, Sikrauda, Madhya Pradesh 476001, India",77.966382,26.562924
0,BKH,Bankhedi,Bankhedi Madhya Pradesh,West Central Railway,Madhya Pradesh,"Bankhedi, Madhya Pradesh 461990, India",78.5348565,22.7690544
0,BHS,Vidisha,Vidisha Madhya Pradesh,West Central Railway,Madhya Pradesh,"Vidisha, Madhya Pradesh 464001, India",77.8139718,23.5235719
0,AVD,Avadi,Avadi Tamil Nadu,Southern Railway,Tamil Nadu,"Avadi, Tamil Nadu, India",80.0969511,13.1067448
0,KMN,Khamgaon,Khamgaon Maharashtra,Central Railway,Maharashtra,"Khamgaon, Maharashtra, India",76.5650829,20.7131695
0,CPP,Chipurupalle,Chipurupalle Andhra Pradesh,East Coast Railway,Andhra Pradesh,"Cheepurupalli, Andhra Pradesh 535128, India",83.568301,18.3105327
0,MON,Modran,Modran Rajasthan,North Western Railway,Rajasthan,"Modran, Rajasthan 343028, India",72.4321782,25.1837121
0,GHL,GOLHALLI,GOLHALLI Karnataka,South Western Railway,Karnataka,"I. Gollahally, Karnataka 562119, India",77.4638699,12.3789837
0,KAWR,Karwar,Karwar Karnataka,Konkan Railway,Karnataka,"Karwar, Karnataka, India",74.129898,14.8073777
0,SED,Shedbal,Shedbal Karnataka,South Western Railway,Karnataka,"Shedbal, Karnataka 591315, India",74.7592744,16.6898199
0,BLR,BALGANUR,BALGANUR Karnataka,South Western Railway,Karnataka,"Balaganur, Karnataka 584138, India",76.7531301,15.956087
0,NYP,Nayudupeta,Nayudupeta Andhra Pradesh,Southern Railway,Andhra Pradesh,"Naidupeta, Andhra Pradesh, India",79.8910459,13.9058635
0,CGL,Chengalpattu,Chengalpattu Tamil Nadu,Southern Railway,Tamil Nadu,"Chengalpattu, Tamil Nadu, India",79.9888413,12.6819372
0,NCJ,Nagercoil Jn,Nagercoil Jn Tamil Nadu,Southern Railway,Tamil Nadu,"Nagercoil Jn., Railway Feeder Rd, Kottar, Vadiveeswaram, Tamil Nadu 629001, India",77.443901,8.1745591
0,UCA,Uchana,Uchana Haryana,Northern Railway,Haryana,"Uchana, Haryana 126115, India",76.181272,29.4702591
0,PUM,PALLIPPURAM,PALLIPPURAM Kerala,Southern Railway,Kerala,"Pallippuram, Kerala, India",76.85569,8.5942619
0,PAY,Payyanur,Payyanur Kerala,Southern Railway,Kerala,"Payyanur, Kerala, India",75.1933906,12.0972416
0,MGN,Meghnagar,Meghnagar Madhya Pradesh,Western Railway,Madhya Pradesh,"Megh Nagar, Madhya Pradesh 457779, India",74.5422147,22.9062054
0,YNG,YENUGONDA,YENUGONDA Telangana,South Central Railway,Telangana,"Yenugonda, Telangana 509001, India",78.0452217,16.7541791
0,BARH,Barh,Barh Bihar,East Central Railway,Bihar,"Barh, Bihar 803213, India",85.7081842,25.4722676
0,NGD,Nagardevla,Nagardevla Maharashtra,Central Railway,Maharashtra,"Nagardeola, Maharashtra 424104, India",75.2070644,20.552163
0,BNDP,Buniadpur,Buniadpur West Bengal,North Frontier Railway,West Bengal,"Buniadpur, West Bengal 733121, India",88.387051,25.3875501
0,ASB,ASANBONI,ASANBONI Jharkhand,South Eastern Railway,Jharkhand,"Asanbani, Jharkhand 816118, India",87.4430564,24.1315518
0,BLQR,BILASPUR ROAD,BILASPUR ROAD Uttar Pradesh,North Eastern Railway,Uttar Pradesh,"Bilaspur Rd, Uttar Pradesh, India",79.2064578,28.9177215
0,KZPR,Kazipara,Kazipara West Bengal,Eastern Railway,West Bengal,"Kazipara, West Bengal, India",87.9175451,23.8221758
0,URML,Uparmal,Uparmal Rajasthan,West Central Railway,Rajasthan,"Rajasthan, India",74.2179326,27.0238036
0,KWAE,Katwa,Katwa West Bengal,Eastern Railway,West Bengal,"Katwa, West Bengal, India",88.1299373,23.6403783
0,SGL,Sagauli Jn,Sagauli Jn Bihar,East Central Railway,Bihar,"Sugauli, Bihar, India",84.7420032,26.7584464
0,SWO,Sonwara,Sonwara Himachal Pradesh,Northern Railway,Himachal Pradesh,"Himachal Pradesh, India",77.5619419,32.1024076
0,GNC,Gandhinagar Cap,Gandhinagar Cap Gujarat,Western Railway,Gujarat,"Gandhinagar, Gujarat, India",72.6369415,23.2156354
0,SLY,Samalpatti,Samalpatti Tamil Nadu,Southern Railway,Tamil Nadu,"Samalpatti, Tamil Nadu 635306, India",78.4865933,12.3089173
0,KBPR,Kabakaputtur,Kabakaputtur Karnataka,South Western Railway,Karnataka,"Kabaka Rural, Karnataka 574220, India",75.161492,12.7832278
0,NGO,Nagaur,Nagaur Rajasthan,North Western Railway,Rajasthan,"Nagaur, Rajasthan 341001, India",73.7493272,27.1983368
0,BRU,BHAIROGANJ,BHAIROGANJ Bihar,East Central Railway,Bihar,"Bhairoganj, Bihar, India",84.242368,27.1483109
0,TCL,TYAKAL,TYAKAL Karnataka,South Western Railway,Karnataka,"Tekal, Karnataka 563137, India",78.0711333,12.9834354
0,BOBS,Bobas,Bobas Rajasthan,North Western Railway,Rajasthan,"Bobas, Rajasthan, India",75.4752537,26.9259755
0,BOR,Boisar,Boisar Maharashtra,Western Railway,Maharashtra,"Boisar, Maharashtra, India",72.7451817,19.7968929
0,BLGR,Balangir,Balangir Odisha,East Coast Railway,Odisha,"Balangir, Odisha, India",83.4846069,20.7011108
0,KHTG,KHATGAON,KHATGAON Maharashtra,Western Railway,Maharashtra,"Khatgaon, Maharashtra 413203, India",74.8916458,18.2761736
0,DGW,DHIGAWARA,DHIGAWARA Rajasthan,North Western Railway,Rajasthan,"Dhigawara, Rajasthan, India",76.6246721,27.29936
0,UPW,Uppalavai,Uppalavai Telangana,South Central Railway,Telangana,"Uppalwai, Telangana, India",78.3244788,18.412927
0,PAL,PALASNER,PALASNER Madhya Pradesh,West Central Railway,Madhya Pradesh,"Palasner, Madhya Pradesh 461331, India",77.0362967,22.2954628
0,BO,Borivali,Borivali Gujarat,Western Railway,Gujarat,"Gujarat, India",71.5723953,22.6708317
0,AME,Amethi,Amethi Uttar Pradesh,Northern Railway,Uttar Pradesh,"Amethi, Uttar Pradesh 227405, India",81.814238,26.1540538
0,KTP,KATEPURNA,KATEPURNA Maharashtra,Central Railway,Maharashtra,"Katepurna Bridge, Pailpada, Maharashtra 444102, India",77.2376826,20.705958
0,KOU,Koduru,Koduru Andhra Pradesh,South Central Railway,Andhra Pradesh,"Koduru, Andhra Pradesh 521328, India",81.0340601,16.008622
0,VPDA,Vidyapatidham,Vidyapatidham Bihar,East Central Railway,Bihar,"Vidhyapati Dham Rd, Bihar, India",85.8127645,25.6235843
0,MMH,MAHADANAPURAM,MAHADANAPURAM Tamil Nadu,Southern Railway,Tamil Nadu,"Mahadhanapuram, Tamil Nadu 639102, India",78.3002869,10.9507587
0,CHP,Chhapi,Chhapi Gujarat,Western Railway,Gujarat,"Chhapi, Gujarat 385210, India",72.3850227,24.0271252
0,PTAE,PATULI,PATULI West Bengal,Eastern Railway,West Bengal,"Patuli, West Bengal, India",88.2874736,23.5664443
0,MMCT,Mumbai Central,Mumbai Central Maharashtra,Western Railway,Maharashtra,"Mumbai Central, Mumbai, Maharashtra, India",72.8205292,18.9690247
0,BZA,Vijayawada Jn,Vijayawada Jn Andhra Pradesh,South Central Railway,Andhra Pradesh,"Vijayawada, Andhra Pradesh, India",80.6480153,16.5061743
0,KNNA,Khinaniyan,Khinaniyan Rajasthan,North Western Railway,Rajasthan,"Khinaniyan, Khanania, tehsil, Nohar, 20 Knn, Rajasthan 125102, India",74.7175453,29.3460951
0,PS,Tetulmari,Tetulmari Maharashtra,Central Railway,Maharashtra,"Maharashtra, India",75.7138884,19.7514798
0,MMZ,Mandamari,Mandamari Telangana,South Central Railway,Telangana,"Mandamarri, Telangana, India",79.4853964,18.9822786
0,BWN,Barddhaman Jn,Barddhaman Jn West Bengal,Eastern Railway,West Bengal,"Barddhaman Junction., Railway Overbridge, Railway Loco Colony, Bardhaman, West Bengal 713103, India",87.8696093,23.2502677
0,SFH,Safedabad,Safedabad Uttar Pradesh,Northern Railway,Uttar Pradesh,"Safedabad, Gadia, Uttar Pradesh 225003, India",81.1427031,26.9124013
0,KHH,Kichha,Kichha Uttarakhand,North Eastern Railway,Uttarakhand,"Kichha, Uttarakhand, India",79.5153705,28.9115087
0,LAD,LOHARDAGA,LOHARDAGA Jharkhand,South Eastern Railway,Jharkhand,"Lohardaga, Jharkhand 835302, India",84.6869722,23.4415776
0,TPZ,Tapri,Tapri Uttar Pradesh,Northern Railway,Uttar Pradesh,"Tapri, Uttar Pradesh 247554, India",77.5522692,29.7660035
0,HBLN,HBL NAGAR,HBL NAGAR Telangana,South Central Railway,Telangana,"Telangana, India",79.0192997,18.1124372
0,GBA,Garhbeta,Garhbeta West Bengal,South Eastern Railway,West Bengal,"Garhbeta, West Bengal, India",87.3537738,22.8631347
0,CHIB,Chirai Bg,Chirai Bg Gujarat,Western Railway,Gujarat,"Gujarat, India",71.5723953,22.6708317
0,MQ,MANNARGUDI,MANNARGUDI Tamil Nadu,Southern Railway,Tamil Nadu,"Mannargudi, Tamil Nadu, India",79.4481754,10.6631615
0,BRPL,Barpali,Barpali Odisha,East Coast Railway,Odisha,"Barapali Town, Odisha 768029, India",83.5975882,21.1813399
0,CHLK,Chavalkhede,Chavalkhede Maharashtra,Western Railway,Maharashtra,"Chavalkhede, Maharashtra, India",75.3522206,21.027943
0,BTH,Bettiah,Bettiah Bihar,East Central Railway,Bihar,"Bettiah, Bihar, India",84.520147,26.8025577
0,RKR,Ranikund Rarah,Ranikund Rarah Rajasthan,West Central Railway,Rajasthan,"8HC4+97M, Rarah, Rajasthan 321025, India",77.5556708,27.3209568
0,BJW,Bajva,Bajva Gujarat,Western Railway,Gujarat,"Bajva, Vadodara, Gujarat, India",73.1574371,22.3420935
0,SDPT,SEDARAMPATTU,SEDARAMPATTU Tamil Nadu,Southern Railway,Tamil Nadu,"Sedarampattu, Tamil Nadu 632315, India",79.1908272,12.6810848
0,MRDG,Maradanga,Maradanga West Bengal,North Frontier Railway,West Bengal,"Maradanga, West Bengal 736156, India",89.55448,26.3065431
0,DVM,Dalbhumgarh,Dalbhumgarh Jharkhand,South Eastern Railway,Jharkhand,"Dalbhumgarh, Jharkhand, India",86.5558682,22.508251
0,MAY,Mariahu,Mariahu Uttar Pradesh,Northern Railway,Uttar Pradesh,"Mariahu, Uttar Pradesh 222161, India",82.5883844,25.6027545
0,GRH,GHORASAHAN,GHORASAHAN Bihar,East Central Railway,Bihar,"Ghorasahan, Bihar 845303, India",85.1307078,26.8202004
0,UMED,Umed,Umed Rajasthan,North Western Railway,Rajasthan,"Rajasthan, India",74.2179326,27.0238036
